Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE
file_id,,,,,,,,,,,,,Must be first message in file.,,
,0,type,file,,,,,,,,,,,,1
,1,manufacturer,manufacturer,,,,,,,,,,,,1
,2,product,uint16,,,,,,,,,,,,1
,,favero_product,favero_product,,,,,,,,manufacturer,favero_electronics,,,
,,garmin_product,garmin_product,,,,,,,,"manufacturer,manufacturer,manufacturer,manufacturer","garmin,dynastream,dynastream_oem,tacx",,,1
,3,serial_number,uint32z,,,,,,,,,,,,1
,4,time_created,date_time,,,,,,,,,,Only set for files that are can be created/erased.,,1
,5,number,uint16,,,,,,,,,,Only set for files that are not created/erased.,,1
,8,product_name,string,,,,,,,,,,Optional free form string to indicate the devices name or model,,20
file_creator,,,,,,,,,,,,,,,
,0,software_version,uint16,,,,,,,,,,,,1
,1,hardware_version,uint8,,,,,,,,,,,,1
timestamp_correlation,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,Whole second part of UTC timestamp at the time the system timestamp was recorded.,,
,0,fractional_timestamp,uint16,,,32768,,s,,,,,Fractional part of the UTC timestamp at the time the system timestamp was recorded.,,
,1,system_timestamp,date_time,,,,,s,,,,,Whole second part of the system timestamp,,
,2,fractional_system_timestamp,uint16,,,32768,,s,,,,,Fractional part of the system timestamp,,
,3,local_timestamp,local_date_time,,,,,s,,,,,timestamp epoch expressed in local time used to convert timestamps to local time,,
,4,timestamp_ms,uint16,,,,,ms,,,,,Millisecond part of the UTC timestamp at the time the system timestamp was recorded.,,
,5,system_timestamp_ms,uint16,,,,,ms,,,,,Millisecond part of the system timestamp,,
,,,DEVICE FILE MESSAGES,,,,,,,,,,,,
software,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,3,version,uint16,,,100,,,,,,,,,1
,5,part_number,string,,,,,,,,,,,,16
slave_device,,,,,,,,,,,,,,,
,0,manufacturer,manufacturer,,,,,,,,,,,,1
,1,product,uint16,,,,,,,,,,,,1
,,favero_product,favero_product,,,,,,,,manufacturer,favero_electronics,,,
,,garmin_product,garmin_product,,,,,,,,"manufacturer,manufacturer,manufacturer,manufacturer","garmin,dynastream,dynastream_oem,tacx",,,1
capabilities,,,,,,,,,,,,,,,
